title,year,rating,dubious,imdbid,id,década,title
Raising the Bar,2016,3,0.0,5274066,7105,2010s,Raising the Bar
Grease Live!,2016,3,0.0,4366830,7106,2010s,Grease Live!
Hell or High Water,2016,1,0.0,2582782,7110,2010s,Hell or High Water
Morgan,2016,3,0.0,4520364,7112,2010s,Morgan
My Little Pony: Equestria Girls - Legend of Everfree,2016,3,0.0,5474644,7113,2010s,My Little Pony: Equestria Girls - Legend of Everfree
El Olivo,2016,3,0.0,3655972,7122,2010s,El Olivo
Snowden,2016,1,0.0,3774114,7124,2010s,Snowden
Catfight,2016,3,0.0,5294198,7126,2010s,Catfight
magnificent 7,2016,0,0.0,2404435,7143,2010s,magnificent 7
"Infiltrator, The",2016,3,0.0,1355631,7147,2010s,The Infiltrator
Dirty 30,2016,3,0.0,5521550,7154,2010s,Dirty 30
La pazza gioia,2016,3,0.0,4621872,7166,2010s,La pazza gioia
Julieta,2016,3,0.0,4326444,7167,2010s,Julieta
Storks,2016,1,0.0,4624424,7180,2010s,Storks
American Honey,2016,3,0.0,3721936,7182,2010s,American Honey
Shin Godzilla,2016,1,0.0,4262980,7196,2010s,Shin Godzilla
"Accountant, The",2016,2,1.0,2140479,7212,2010s,The Accountant
King Dave,2016,1,0.0,4551882,7217,2010s,King Dave
Ouija: Origin of Evil,2016,3,0.0,4361050,7218,2010s,Ouija: Origin of Evil
"Rocky Horror Picture Show: Let&#39;s Do the Time Warp Again, The",2016,3,1.0,1267299,7224,2010s,The Rocky Horror Picture Show: Let&#39;s Do the Time Warp Again
Doctor Strange,2016,1,0.0,1211837,7225,2010s,Doctor Strange
"Handmaiden (Ah-ga-ssi) , The",2016,3,0.0,4016934,7228,2010s,The Handmaiden (Ah-ga-ssi) 
Miss Peregrine&#39;s Home for Peculiar Children,2016,3,0.0,1935859,7229,2010s,Miss Peregrine&#39;s Home for Peculiar Children
"Finest Hours, The",2016,3,0.0,2025690,7230,2010s,The Finest Hours
Gr&uuml;&szlig;e aus Fukushima (Greetings from Fukushima),2016,3,0.0,4667788,7231,2010s,Gr&uuml;&szlig;e aus Fukushima (Greetings from Fukushima)
Trolls,2016,3,0.0,1679335,7237,2010s,Trolls
"I, Daniel Blake",2016,3,0.0,5168192,7240,2010s,"I, Daniel Blake"
Certain Women,2016,3,0.0,4468634,7246,2010s,Certain Women
Arrival,2016,3,1.0,2543164,7257,2010s,Arrival
Ride Along 2,2016,0,0.0,2869728,7261,2010s,Ride Along 2
Fantastic Beasts and Where to Find Them,2016,3,1.0,3183660,7271,2010s,Fantastic Beasts and Where to Find Them
Divines,2016,3,0.0,4730986,7274,2010s,Divines
Loving,2016,3,0.0,4669986,7278,2010s,Loving
Jack Reacher: Never Go Back,2016,3,0.0,3393786,7279,2010s,Jack Reacher: Never Go Back
Hacksaw Ridge,2016,1,0.0,2119532,7281,2010s,Hacksaw Ridge
Batman: Return of the Caped Crusaders,2016,1,0.0,5973626,7282,2010s,Batman: Return of the Caped Crusaders
Bridget Jones&#39;s Baby,2016,3,0.0,1473832,7283,2010s,Bridget Jones&#39;s Baby
"Legend of Tarzan, The",2016,0,0.0,918940,7284,2010s,The Legend of Tarzan
Wiener-Dog,2016,1,0.0,4144190,7285,2010s,Wiener-Dog
Central Intelligence,2016,2,0.0,1489889,7286,2010s,Central Intelligence
Moana,2016,3,0.0,3521164,7292,2010s,Moana
Elle,2016,3,1.0,3716530,7297,2010s,Elle
Nocturnal Animals,2016,3,0.0,4550098,7300,2010s,Nocturnal Animals
Ballerina,2016,3,0.0,2261287,7310,2010s,Ballerina
Birkebeinerne,2016,1,0.0,4738360,7313,2010s,Birkebeinerne
"Duel, The",2016,1,0.0,2436682,7320,2010s,The Duel
Let Me Go,2016,3,0.0,5153952,7325,2010s,Let Me Go
Mr. Church,2016,3,0.0,4196848,7326,2010s,Mr. Church
Kimi no na wa.,2016,3,0.0,5311514,7328,2010s,Kimi no na wa.
Free State of Jones,2016,2,0.0,1124037,7332,2010s,Free State of Jones
Rogue One,2016,3,0.0,3748528,7334,2010s,Rogue One
Hidden Figures,2016,3,0.0,4846340,7336,2010s,Hidden Figures
Doukyuusei,2016,0,0.0,5526028,7337,2010s,Doukyuusei
True Memoirs of an International Assassin,2016,0,0.0,1542768,7339,2010s,True Memoirs of an International Assassin
Neruda,2016,0,0.0,4698584,7350,2010s,Neruda
Assassin&#39;s Creed,2016,1,0.0,2094766,7351,2010s,Assassin&#39;s Creed
La La Land,2016,3,0.0,3783958,7353,2010s,La La Land
Sing,2016,3,1.0,3470600,7355,2010s,Sing
Passengers,2016,0,0.0,1355644,7356,2010s,Passengers
In a Valley of Violence,2016,2,0.0,3608930,7357,2010s,In a Valley of Violence
Jackie,2016,3,0.0,1619029,7358,2010s,Jackie
Paterson,2016,1,0.0,5247022,7367,2010s,Paterson
Dernieres nouvelles du cosmos,2016,3,0.0,5786040,7368,2010s,Dernieres nouvelles du cosmos
Hairspray Live!,2016,3,0.0,5664684,7369,2010s,Hairspray Live!
Hurricane Bianca,2016,3,1.0,4007248,7370,2010s,Hurricane Bianca
20th Century Women,2016,3,1.0,4385888,7372,2010s,20th Century Women
Dangal,2016,3,0.0,5074352,7374,2010s,Dangal
Fences,2016,3,0.0,2671706,7375,2010s,Fences
Manchester by the Sea,2016,3,0.0,4034228,7376,2010s,Manchester by the Sea
Hunt for the Wilderpeople,2016,3,1.0,4698684,7377,2010s,Hunt for the Wilderpeople
Deepwater Horizon,2016,2,0.0,1860357,7379,2010s,Deepwater Horizon
Inferno,2016,2,0.0,3062096,7385,2010s,Inferno
Final Fantasy XV,2016,3,0.0,5595168,7393,2010s,Final Fantasy XV
Demain tout commence,2016,3,1.0,5078204,7398,2010s,Demain tout commence
Contratiempo,2016,1,0.0,4857264,7430,2010s,Contratiempo
First Girl I Loved,2016,3,0.0,4262174,7416,2010s,First Girl I Loved
Pete&#39;s Dragon,2016,3,0.0,2788732,7417,2010s,Pete&#39;s Dragon
Moonlight,2016,1,0.0,4975722,7421,2010s,Moonlight
Split,2016,3,0.0,4972582,7422,2010s,Split
All Girls Weekend,2016,3,0.0,4247682,7436,2010s,All Girls Weekend
Silence,2016,0,0.0,490215,7443,2010s,Silence
Resident Evil: The Final Chapter,2016,3,0.0,2592614,7447,2010s,Resident Evil: The Final Chapter
Florence Foster Jenkins,2016,3,0.0,4136084,7448,2010s,Florence Foster Jenkins
"Eagle Huntress, The",2016,1,0.0,3882074,7449,2010s,The Eagle Huntress
"Red Pill, The",2016,3,0.0,3686998,7451,2010s,The Red Pill
It&#39;s Only the End of the World,2016,3,0.0,4645368,7453,2010s,It&#39;s Only the End of the World
Toni Erdmann,2016,3,0.0,4048272,7455,2010s,Toni Erdmann
Aquarius,2016,3,0.0,5221584,7456,2010s,Aquarius
Personal Shopper,2016,3,0.0,4714782,7457,2010s,Personal Shopper
A Cure for Wellness,2016,1,0.0,4731136,7460,2010s,A Cure for Wellness
Mr. Right,2016,2,0.0,2091935,7461,2010s,Mr. Right
Marauders,2016,1,0.0,3963816,7462,2010s,Marauders
Lion,2016,2,0.0,3741834,7464,2010s,Lion
Under The Shadow,2016,3,0.0,4273292,7465,2010s,Under The Shadow
"Great Wall, The",2016,0,0.0,2034800,7470,2010s,The Great Wall
Christine,2016,3,0.0,4666726,7473,2010s,Christine
Things to come - L&#39;avenir,2016,1,0.0,4120176,7474,2010s,Things to come - L&#39;avenir
Little Sister,2016,3,0.0,5434870,7481,2010s,Little Sister
Bar Bahar,2016,3,0.0,5974388,7485,2010s,Bar Bahar
Underworld: Blood Wars,2016,2,0.0,3717252,7497,2010s,Underworld: Blood Wars
Other People,2016,3,0.0,4158876,7505,2010s,Other People
Spa Night,2016,3,0.0,5254640,7509,2010s,Spa Night
"Edge of Seventeen, The",2016,3,0.0,1878870,7515,2010s,The Edge of Seventeen
"Young Offenders, The",2016,3,1.0,4714568,7520,2010s,The Young Offenders
Always Shine,2016,3,0.0,4392770,7525,2010s,Always Shine
Monster Trucks,2016,0,0.0,3095734,7545,2010s,Monster Trucks
Breathing Deep,2016,1,0.0,4869556,7546,2010s,Breathing Deep
"Lost City of Z, The",2016,1,0.0,1212428,7555,2010s,The Lost City of Z
"Love Witch, The",2016,3,0.0,3908142,7560,2010s,The Love Witch
Miss Sloane,2016,3,0.0,4540710,7561,2010s,Miss Sloane
Denial,2016,3,0.0,4645330,7562,2010s,Denial
Queen of Katwe,2016,3,0.0,4341582,7565,2010s,Queen of Katwe
Below Her Mouth,2016,3,0.0,5073620,7569,2010s,Below Her Mouth
Live by Night,2016,1,0.0,2361317,7583,2010s,Live by Night
Electra Woman and Dyna Girl,2016,3,0.0,4644822,7589,2010s,Electra Woman and Dyna Girl
Free Fire,2016,0,0.0,4158096,7591,2010s,Free Fire
Raw,2016,3,0.0,4954522,7662,2010s,Raw
"Belko Experiment, The",2016,3,0.0,1082807,7688,2010s,The Belko Experiment
Colossal,2016,0,0.0,4680182,7691,2010s,Colossal
"Girl with All the Gifts, The",2016,3,0.0,4547056,7704,2010s,The Girl with All the Gifts
War on Everyone,2016,3,0.0,3708886,7705,2010s,War on Everyone
Cam-Girl,2016,3,0.0,2290819,7722,2010s,Cam-Girl
"9th Life of Louis Drax, The",2016,1,0.0,3991412,7719,2010s,The 9th Life of Louis Drax
L&#39;et&agrave; d&#39;oro,2016,1,0.0,4322180,7721,2010s,L&#39;et&agrave; d&#39;oro
Keeping Up with the Joneses,2016,3,0.0,2387499,7727,2010s,Keeping Up with the Joneses
I Am the Pretty Thing That Lives in the House,2016,3,0.0,5059406,7729,2010s,I Am the Pretty Thing That Lives in the House
Spidarlings,2016,3,0.0,2262129,7733,2010s,Spidarlings
"Dragon Spell, The",2016,1,0.0,5954304,7737,2010s,The Dragon Spell
Monster High: Welcome to Monster High,2016,3,0.0,5898034,7738,2010s,Monster High: Welcome to Monster High
"Void, The",2016,3,0.0,4255304,7741,2010s,The Void
Una,2016,2,0.0,2315582,7754,2010s,Una
Almost Christmas,2016,3,0.0,4649416,7758,2010s,Almost Christmas
Varoonegi,2016,3,0.0,5695764,7759,2010s,Varoonegi
"Untamed, The",2016,3,0.0,5265960,7760,2010s,The Untamed
"Darkness, The",2016,2,0.0,1878841,7766,2010s,The Darkness
Don&#39;t Hang Up,2016,0,0.0,3610746,7767,2010s,Don&#39;t Hang Up
Martyrs,2016,3,0.0,1663655,7775,2010s,Martyrs
A United Kingdom,2016,3,0.0,3387266,7784,2010s,A United Kingdom
Their Finest,2016,3,0.0,1661275,7800,2010s,Their Finest
"Red Turtle, The",2016,0,0.0,3666024,7802,2010s,The Red Turtle
My Life as a Zucchini,2016,3,0.0,2321405,7865,2010s,My Life as a Zucchini
A Quiet Passion,2016,3,0.0,2392830,7837,2010s,A Quiet Passion
King of the Dancehall,2016,2,0.0,5918104,7871,2010s,King of the Dancehall
Petersburg: a selfie,2016,3,0.0,5789664,7879,2010s,Petersburg: a selfie
Pet,2016,2,0.0,1183374,7882,2010s,Pet
Prevenge,2016,3,0.0,5154288,7886,2010s,Prevenge
Patients,2016,1,0.0,5598100,7911,2010s,Patients
"Siege of Jadotville, The",2016,1,0.0,3922798,7912,2010s,The Siege of Jadotville
Norman,2016,1,0.0,4191702,7952,2010s,Norman
Aruvi,2016,3,1.0,5867800,7961,2010s,Aruvi
Office Christmas Party,2016,3,0.0,1711525,7962,2010s,Office Christmas Party
Hated in the Nation,2016,3,0.0,5709236,7965,2010s,Hated in the Nation
"Autopsy of Jane Doe, The",2016,1,1.0,3289956,7975,2010s,The Autopsy of Jane Doe
Ice Fantasy,2016,3,0.0,5022298,7976,2010s,Ice Fantasy
A Dark Song,2016,0,1.0,4805316,8001,2010s,A Dark Song
Hounds of Love,2016,3,0.0,3896738,8009,2010s,Hounds of Love
Yoga Hosers,2016,2,0.0,3838992,8010,2010s,Yoga Hosers
Ne gledaj mi u pijat,2016,1,0.0,5791884,8018,2010s,Ne gledaj mi u pijat
House on Willow Street,2016,3,0.0,4961380,8028,2010s,House on Willow Street
Little Door Gods,2016,3,0.0,4788934,8030,2010s,Little Door Gods
R&eacute;parer les vivants,2016,1,0.0,5096536,8032,2010s,R&eacute;parer les vivants
Pink,2016,3,0.0,5571734,8034,2010s,Pink
Planetarium,2016,3,0.0,4680196,8035,2010s,Planetarium
Fai bei sogni,2016,2,1.0,4746506,8047,2010s,Fai bei sogni
Better Watch Out,2016,3,0.0,4443658,8049,2010s,Better Watch Out
Rustom,2016,3,0.0,5165344,8067,2010s,Rustom
Nowhere Boys: The Book of Shadows,2016,3,1.0,4836736,8068,2010s,Nowhere Boys: The Book of Shadows
Locos de Amor,2016,2,0.0,5908566,8076,2010s,Locos de Amor
Our Kind of Traitor,2016,3,0.0,1995390,8083,2010s,Our Kind of Traitor
Sensitivity Training,2016,3,0.0,5697078,8084,2010s,Sensitivity Training
Maudie,2016,3,0.0,3721954,8092,2010s,Maudie
"Transfiguration, The",2016,0,0.0,5039088,8095,2010s,The Transfiguration
Tenemos la carne [We Are the Flesh],2016,0,0.0,4682708,8129,2010s,Tenemos la carne [We Are the Flesh]
"Midnight Man, The",2016,3,0.0,5629964,8136,2010s,The Midnight Man
Tschick,2016,1,0.0,4911940,8135,2010s,Tschick
My Big Fat Greek Wedding 2,2016,3,0.0,3760922,8273,2010s,My Big Fat Greek Wedding 2
"Choice, The",2016,3,0.0,3797868,8272,2010s,The Choice
Thomas &amp; Friends: The Great Race,2016,3,0.0,5563932,8325,2010s,Thomas &amp; Friends: The Great Race
"Birth of a Nation, The",2016,1,0.0,4196450,8207,2010s,The Birth of a Nation
"Perfect Match, The",2016,2,0.0,4871980,8258,2010s,The Perfect Match
"Brothers Grimsby, The",2016,1,0.0,3381008,8228,2010s,The Brothers Grimsby
Koe no katachi,2016,1,0.0,5323662,8312,2010s,Koe no katachi
"Angry Birds Movie, The",2016,1,0.0,1985949,8309,2010s,The Angry Birds Movie
Ice Age: Collision Course,2016,3,0.0,3416828,8332,2010s,Ice Age: Collision Course
Blair Witch,2016,2,0.0,1540011,8338,2010s,Blair Witch
Collateral Beauty,2016,2,0.0,4682786,8339,2010s,Collateral Beauty
Allied,2016,3,1.0,3640424,8341,2010s,Allied
Billions,2016,3,0.0,4270492,8348,2010s,Billions
Middle School: The Worst Years of My Life,2016,3,0.0,4981636,8350,2010s,Middle School: The Worst Years of My Life
Meet the Blacks,2016,3,0.0,4191580,8366,2010s,Meet the Blacks
A Monster Calls,2016,3,1.0,3416532,8372,2010s,A Monster Calls
Barbershop: The Next Cut,2016,3,0.0,3628584,8373,2010s,Barbershop: The Next Cut
Dirty Grandpa,2016,2,0.0,1860213,8376,2010s,Dirty Grandpa
Masterminds,2016,3,0.0,2461150,8455,2010s,Masterminds
Bliss!,2016,3,0.0,1316541,8505,2010s,Bliss!
Raman Raghav 2.0,2016,2,0.0,5662932,8570,2010s,Raman Raghav 2.0
I Had a Bloody Good Time at House Harker,2016,1,1.0,4779026,8581,2010s,I Had a Bloody Good Time at House Harker
Liberty&#39;s Secret,2016,3,0.0,4396662,8602,2010s,Liberty&#39;s Secret
Quand on a 17 ans,2016,3,0.0,4331970,8603,2010s,Quand on a 17 ans
Women Who Kill,2016,3,0.0,3973012,8604,2010s,Women Who Kill
Friend Request,2016,3,0.0,3352390,8691,2010s,Friend Request
Seoulyeok [Seoul Station],2016,0,0.0,3845670,8696,2010s,Seoulyeok [Seoul Station]
Courier X,2016,0,0.0,3589968,8705,2010s,Courier X
Vier gegen die Bank,2016,1,0.0,5173166,8716,2010s,Vier gegen die Bank
Zoombies,2016,3,0.0,5340882,8793,2010s,Zoombies
Pandemic,2016,3,0.0,3774802,9022,2010s,Pandemic
Ben-Hur,2016,1,0.0,2638144,9040,2010s,Ben-Hur
Nine Lives,2016,1,0.0,4383594,9041,2010s,Nine Lives
Adult Life Skills,2016,3,0.0,4211044,9044,2010s,Adult Life Skills
Ma revolution,2016,3,0.0,4277264,9053,2010s,Ma revolution
Blood Stripe,2016,1,0.0,3838802,9073,2010s,Blood Stripe
Don&#39;t Think Twice,2016,3,0.0,4972062,9093,2010s,Don&#39;t Think Twice
Suicide kale,2016,3,0.0,4991906,9101,2010s,Suicide kale
Tramps,2016,1,1.0,4991512,9141,2010s,Tramps
"Ticket, The",2016,1,0.0,3893280,9156,2010s,The Ticket
Handsome Devil,2016,1,0.0,5016946,9369,2010s,Handsome Devil
S&atilde;o Jorge,2016,1,0.0,4895668,9256,2010s,S&atilde;o Jorge
Lovesong,2016,3,0.0,4305148,9259,2010s,Lovesong
Big Fish &amp; Begonia,2016,3,0.0,1920885,9300,2010s,Big Fish &amp; Begonia
Yu-Gi-Oh!: The Dark Side of Dimensions,2016,1,0.0,4273562,9349,2010s,Yu-Gi-Oh!: The Dark Side of Dimensions
Gantz: O,2016,1,0.0,5923962,9390,2010s,Gantz: O
Vse o muzhchinakh,2016,1,0.0,6261136,9394,2010s,Vse o muzhchinakh
Sharknado 4: The 4th Awakens,2016,3,1.0,4831420,9465,2010s,Sharknado 4: The 4th Awakens
American Crime Story,2016,3,0.0,2788432,9484,2010s,American Crime Story
Miss Saigon: 25th Anniversary,2016,2,0.0,6162808,9511,2010s,Miss Saigon: 25th Anniversary
Realive,2016,1,0.0,4074928,9570,2010s,Realive
Linefork,2016,3,0.0,5553782,9572,2010s,Linefork
I&#39;m Not Ashamed,2016,3,0.0,4950110,9581,2010s,I&#39;m Not Ashamed
Nowhereland,2016,3,0.0,3115906,9746,2010s,Nowhereland
Sluga naroda 2,2016,1,0.0,6818880,9844,2010s,Sluga naroda 2
Wonder Woman,2017,3,0.0,451279,7241,2010s,Wonder Woman
"Bye Bye Man, The",2017,3,0.0,4030600,7354,2010s,The Bye Bye Man
"Coin Heist, The",2017,3,0.0,5740806,7386,2010s,The Coin Heist
Alexander IRL,2017,2,0.0,5540622,7397,2010s,Alexander IRL
xXx: Return of Xander Cage,2017,3,0.0,1293847,7411,2010s,xXx: Return of Xander Cage
Death Race 2050,2017,3,0.0,5493706,7419,2010s,Death Race 2050
"LEGO Batman Movie, The",2017,3,1.0,4116284,7439,2010s,The LEGO Batman Movie
"Space Between Us, The",2017,3,0.0,3922818,7445,2010s,The Space Between Us
John Wick: Chapter 2,2017,1,0.0,4425200,7446,2010s,John Wick: Chapter 2
Fifty Shades Darker,2017,3,0.0,4465564,7469,2010s,Fifty Shades Darker
Logan,2017,3,1.0,3315342,7479,2010s,Logan
For Here or To Go?,2017,3,0.0,4157510,7486,2010s,For Here or To Go?
Table 19,2017,3,0.0,1412528,7490,2010s,Table 19
Before I Fall,2017,3,0.0,1691916,7690,2010s,Before I Fall
Innan vi dor,2017,3,0.0,5598192,7501,2010s,Innan vi dor
Kong: Skull Island,2017,1,0.0,3731562,7504,2010s,Kong: Skull Island
Get Out,2017,3,0.0,5052448,7508,2010s,Get Out
Beauty and the Beast,2017,3,1.0,2771200,7523,2010s,Beauty and the Beast
Deidra &amp; Laney Rob a Train,2017,3,0.0,4144332,7524,2010s,Deidra &amp; Laney Rob a Train
Power Rangers,2017,3,0.0,3717490,7527,2010s,Power Rangers
Life,2017,3,0.0,5442430,7540,2010s,Life
Ghost in the Shell,2017,3,0.0,1219827,7551,2010s,Ghost in the Shell
"Boss Baby, The",2017,1,0.0,3874544,7553,2010s,The Boss Baby
Dance Academy: The Movie,2017,3,0.0,5834660,7564,2010s,Dance Academy: The Movie
Unlocked,2017,3,0.0,1734493,7597,2010s,Unlocked
I Don&#39;t Feel at Home in This World Anymore,2017,3,0.0,5710514,7573,2010s,I Don&#39;t Feel at Home in This World Anymore
"Fate of the Furious, The",2017,3,1.0,4630562,7579,2010s,The Fate of the Furious
"Discovery, The",2017,3,0.0,5155780,7581,2010s,The Discovery
Unforgettable,2017,3,0.0,3462710,7592,2010s,Unforgettable
Guardians of the Galaxy Vol. 2,2017,3,0.0,3896198,7595,2010s,Guardians of the Galaxy Vol. 2
"Circle, The",2017,3,0.0,4287320,7604,2010s,The Circle
Alien: Covenant,2017,3,1.0,2316204,7607,2010s,Alien: Covenant
King Arthur,2017,1,0.0,1972591,7608,2010s,King Arthur
Pirates of the Caribbean: Dead Men Tell No Tales,2017,1,0.0,1790809,7665,2010s,Pirates of the Caribbean: Dead Men Tell No Tales
Gifted,2017,3,0.0,4481414,7669,2010s,Gifted
"Everything, Everything",2017,3,0.0,5001718,7670,2010s,"Everything, Everything"
Snatched,2017,3,0.0,2334871,7676,2010s,Snatched
T2 Trainspotting,2017,3,1.0,2763304,7677,2010s,T2 Trainspotting
"Mummy, The",2017,2,0.0,2345759,7681,2010s,The Mummy
My Cousin Rachel,2017,3,1.0,4411596,7682,2010s,My Cousin Rachel
Megan Leavy,2017,3,1.0,4899370,7684,2010s,Megan Leavy
Captain Underpants: The First Epic Movie,2017,1,0.0,2091256,7700,2010s,Captain Underpants: The First Epic Movie
Rough Night,2017,3,0.0,4799050,7701,2010s,Rough Night
Annabelle: Creation,2017,3,0.0,5140878,7779,2010s,Annabelle: Creation
Beatriz at Dinner,2017,3,0.0,5929750,7707,2010s,Beatriz at Dinner
"Shack, The",2017,3,1.0,2872518,7708,2010s,The Shack
Cars 3,2017,3,1.0,3606752,7709,2010s,Cars 3
Despicable Me 3,2017,3,0.0,3469046,7715,2010s,Despicable Me 3
Baby Driver,2017,1,0.0,3890160,7717,2010s,Baby Driver
"Big Sick, The",2017,3,0.0,5462602,7720,2010s,The Big Sick
Spider-Man: Homecoming,2017,3,0.0,2250912,7724,2010s,Spider-Man: Homecoming
Atomic Blonde,2017,3,0.0,2406566,7725,2010s,Atomic Blonde
"Last Word, The",2017,3,0.0,5023260,7734,2010s,The Last Word
"Little Hours, The",2017,3,0.0,5666304,7735,2010s,The Little Hours
It Comes at Night,2017,3,1.0,4695012,7736,2010s,It Comes at Night
Monster High: Electrified,2017,3,0.0,6536944,7739,2010s,Monster High: Electrified
War for the Planet of the Apes,2017,1,0.0,3450958,7742,2010s,War for the Planet of the Apes
Okja,2017,3,0.0,3967856,7743,2010s,Okja
Wind River,2017,3,1.0,5362988,7745,2010s,Wind River
"Beguiled, The",2017,3,0.0,5592248,7746,2010s,The Beguiled
Wish Upon,2017,3,0.0,5322012,7747,2010s,Wish Upon
Dunkirk,2017,0,0.0,5013056,7748,2010s,Dunkirk
Valerian and the City of a Thousand Planets,2017,1,0.0,2239822,7751,2010s,Valerian and the City of a Thousand Planets
Detroit,2017,2,0.0,5390504,7778,2010s,Detroit
"Incredible Jessica James, The",2017,3,0.0,5990342,7762,2010s,The Incredible Jessica James
Girls Trip,2017,3,0.0,3564472,7763,2010s,Girls Trip
Plasmatic Day,2017,1,0.0,6524480,7768,2010s,Plasmatic Day
"Dark Tower, The",2017,1,0.0,1648190,7770,2010s,The Dark Tower
"Emoji Movie, The",2017,1,0.0,4877122,7772,2010s,The Emoji Movie
To the bone,2017,3,0.0,5541240,7780,2010s,To the bone
"Hitman&#39;s Bodyguard, The",2017,3,1.0,1959563,7781,2010s,The Hitman&#39;s Bodyguard
American Made,2017,1,0.0,3532216,7785,2010s,American Made
Logan Lucky,2017,3,0.0,5439796,7786,2010s,Logan Lucky
Tulip Fever,2017,3,0.0,491203,7787,2010s,Tulip Fever
Naked,2017,2,0.0,6048930,7788,2010s,Naked
Death Note,2017,0,0.0,1241317,7794,2010s,Death Note
What Happened to Monday,2017,3,0.0,1536537,7795,2010s,What Happened to Monday
It,2017,3,0.0,1396484,7799,2010s,It
Mother!,2017,2,1.0,5109784,7803,2010s,Mother!
"I, Tonya",2017,3,0.0,5580036,7806,2010s,"I, Tonya"
Ingrid Goes West,2017,3,0.0,5962210,7808,2010s,Ingrid Goes West
"Book of Birdie, The",2017,3,0.0,5142400,7811,2010s,The Book of Birdie
Amityville: The Awakening,2017,3,0.0,1935897,7864,2010s,Amityville: The Awakening
"Wall, The",2017,0,0.0,4218696,7863,2010s,The Wall
Geostorm,2017,3,1.0,1981128,7860,2010s,Geostorm
"Square, The",2017,1,0.0,4995790,7859,2010s,The Square
"Foreigner, The",2017,1,0.0,1615160,7858,2010s,The Foreigner
Revelator,2017,3,0.0,5296086,7825,2010s,Revelator
Kingsman: The Golden Circle,2017,1,0.0,4649466,7826,2010s,Kingsman: The Golden Circle
American Assassin,2017,3,1.0,1961175,7827,2010s,American Assassin
Happy Death Day,2017,3,0.0,5308322,7857,2010s,Happy Death Day
Battle of the Sexes,2017,3,0.0,4622512,7856,2010s,Battle of the Sexes
Band Aid,2017,3,0.0,5816374,7833,2010s,Band Aid
On Body and Soul,2017,3,0.0,5607714,7838,2010s,On Body and Soul
Revenge,2017,0,0.0,6738136,7839,2010s,Revenge
Felicite,2017,3,0.0,5980798,7841,2010s,Felicite
Lady Bird,2017,3,0.0,4925292,7843,2010s,Lady Bird
seven sisters,2017,3,0.0,4956232,7844,2010s,seven sisters
Blade Runner 2049,2017,3,1.0,1856101,7846,2010s,Blade Runner 2049
Gerald&#39;s Game,2017,3,1.0,3748172,7847,2010s,Gerald&#39;s Game
My Little Pony: The Movie,2017,3,0.0,4131800,7850,2010s,My Little Pony: The Movie
Good Time,2017,3,1.0,4846232,7855,2010s,Good Time
Professor Marston and the Wonder Women,2017,3,0.0,6133130,7852,2010s,Professor Marston and the Wonder Women
Un beau soleil interieur,2017,2,0.0,6423776,7853,2010s,Un beau soleil interieur
Victoria &amp; Abdul,2017,2,0.0,5816682,7854,2010s,Victoria &amp; Abdul
Home Again,2017,3,1.0,5719700,7868,2010s,Home Again
Wheelman,2017,1,0.0,5723286,7869,2010s,Wheelman
Pilgrimage,2017,0,0.0,3531202,7870,2010s,Pilgrimage
Only the Brave,2017,2,0.0,3829920,7872,2010s,Only the Brave
"Death of Stalin, The",2017,1,0.0,4686844,7874,2010s,The Death of Stalin
Thor: Ragnarok,2017,1,0.0,3501632,7875,2010s,Thor: Ragnarok
47 Meters Down,2017,3,0.0,2932536,7883,2010s,47 Meters Down
Jigsaw,2017,3,0.0,3348730,7884,2010s,Jigsaw
"Mad Ones, The",2017,3,0.0,3887208,7887,2010s,The Mad Ones
Pokemon the Movie: I Choose You!,2017,3,0.0,6595896,7888,2010s,Pokemon the Movie: I Choose You!
Seagull,2017,3,0.0,5997830,7894,2010s,Seagull
OM+ME,2017,3,0.0,7341676,7895,2010s,OM+ME
"Meyerowitz Stories (new and selected), The",2017,1,0.0,5536736,7896,2010s,The Meyerowitz Stories (new and selected)
"Florida Project, The",2017,3,0.0,5649144,7897,2010s,The Florida Project
Marshall,2017,1,0.0,5301662,7899,2010s,Marshall
Wonder,2017,3,0.0,2543472,7903,2010s,Wonder
Dim the Fluorescents,2017,3,0.0,6029106,7904,2010s,Dim the Fluorescents
Justice League,2017,3,0.0,974015,7906,2010s,Justice League
6 days,2017,0,0.0,4703048,7908,2010s,6 days
Sand Castle,2017,0,0.0,2582576,7909,2010s,Sand Castle
"Man with the Iron Heart, The",2017,1,0.0,3296908,7910,2010s,The Man with the Iron Heart
"Punisher, The",2017,3,1.0,5675620,7913,2010s,The Punisher
Murder on the Orient Express,2017,3,1.0,3402236,7919,2010s,Murder on the Orient Express
Batman vs. Two-Face,2017,3,1.0,6142314,7920,2010s,Batman vs. Two-Face
Coco,2017,3,0.0,2380307,7930,2010s,Coco
Transformers: The Last Knight,2017,1,0.0,3371366,7934,2010s,Transformers: The Last Knight
"Nut Job 2: Nutty By Nature, The",2017,3,0.0,3486626,7936,2010s,The Nut Job 2: Nutty By Nature
Psych: The Movie,2017,3,0.0,6868216,7939,2010s,Psych: The Movie
"Only Living Boy in New York, The",2017,1,0.0,460890,7940,2010s,The Only Living Boy in New York
Nogemu noraifu: Zero,2017,3,0.0,5914996,7941,2010s,Nogemu noraifu: Zero
